Simulation start time,Model,Task,Trial,Simulation test 1,Simulation test 2,Simulation test 3,Simulation finished (within 3 attempts),Animation looks safe,Animation Notes
2025-09-11 00-05-48,linoss_im,scooping_powder,3,0,0,0,0,1,Looks pretty good
2025-09-11 00-09-26,linoss_im,scooping_powder,4,0,0,0,0,1,Looks pretty good
2025-09-11 00-12-09,linoss_im,scooping_powder,5,1,,,1,1,Looks pretty good
2025-09-11 00-12-51,linoss_im,scooping_powder,6,0,0,0,0,1,Looks pretty good
2025-09-11 00-16-10,linoss_im,scooping_powder,7,0,0,0,0,1,Looks pretty good
2025-09-11 00-18-28,linoss_im,scooping_powder,8,1,,,1,1,Looks pretty good
2025-09-11 00-19-08,linoss_im,scooping_powder,9,0,0,0,0,1,Looks pretty good
2025-09-11 00-21-45,linoss_im,scooping_powder,10,0,0,0,0,1,Looks pretty good
2025-09-11 00-24-42,linoss_im,scooping_powder,11,0,0,0,0,1,Looks pretty good
2025-09-11 00-27-45,linoss_im,scooping_powder,12,1,,,1,1,Looks pretty good
2025-09-11 00-28-26,linoss_im,scooping_powder,13,1,,,1,1,Looks pretty good
2025-09-11 00-29-06,linoss_im,scooping_powder,14,0,0,0,0,1,Looks pretty good
2025-09-11 00-34-51,linoss_imex,scooping_powder,0,1,,,1,1,Some wobbling at beginning
2025-09-11 00-35-32,linoss_imex,scooping_powder,1,1,,,1,1,Some wobbling
2025-09-11 00-36-11,linoss_imex,scooping_powder,2,0,0,1,1,1,Some shaking
2025-09-11 00-38-24,linoss_imex,scooping_powder,3,0,0,0,0,1,
2025-09-11 00-40-44,linoss_imex,scooping_powder,4,0,0,0,0,1,
2025-09-11 00-42-49,linoss_imex,scooping_powder,5,1,,,1,1,
2025-09-11 00-43-28,linoss_imex,scooping_powder,6,1,,,1,1,Some wobbling at beginning
2025-09-11 00-44-09,linoss_imex,scooping_powder,7,0,0,0,0,1,
2025-09-11 00-46-29,linoss_imex,scooping_powder,8,0,0,0,0,1,
2025-09-11 00-48-43,linoss_imex,scooping_powder,9,1,,,1,1,
2025-09-11 00-49-23,linoss_imex,scooping_powder,10,1,,,1,1,Some wobbling
2025-09-11 00-50-03,linoss_imex,scooping_powder,11,0,0,0,0,1,
2025-09-11 00-52-22,linoss_imex,scooping_powder,12,1,,,1,1,Some wobbling at beginning
2025-09-11 00-53-02,linoss_imex,scooping_powder,13,1,,,1,1,
2025-09-11 00-53-41,linoss_imex,scooping_powder,14,0,1,,1,1,Some wobbling
2025-09-11 00-56-34,lru,scooping_powder,0,0,0,0,0,1,
2025-09-11 00-58-51,lru,scooping_powder,1,0,0,0,0,1,
2025-09-11 01-01-10,lru,scooping_powder,2,0,1,,1,1,
2025-09-11 01-02-33,lru,scooping_powder,3,0,0,0,0,1,
2025-09-11 01-04-57,lru,scooping_powder,4,0,0,0,0,1,
2025-09-11 01-07-47,lru,scooping_powder,5,0,0,0,0,1,
2025-09-11 01-09-55,lru,scooping_powder,6,0,0,0,0,1,
2025-09-11 01-12-18,lru,scooping_powder,7,0,0,0,0,1,
2025-09-11 01-14-34,lru,scooping_powder,8,1,,,1,1,
2025-09-11 01-15-13,lru,scooping_powder,9,1,,,1,1,
2025-09-11 01-15-53,lru,scooping_powder,10,0,0,0,0,1,Shaking at beginning
2025-09-11 01-18-14,lru,scooping_powder,11,1,,,1,1,
2025-09-11 01-18-54,lru,scooping_powder,12,1,,,1,1,
2025-09-11 01-19-33,lru,scooping_powder,13,1,,,1,1,
2025-09-11 01-20-13,lru,scooping_powder,14,0,0,0,0,1,
2025-09-11 01-24-44,lstm,scooping_powder,0,1,,,1,1,Many had some wobbling/motion at begnning
2025-09-11 01-25-24,lstm,scooping_powder,1,0,1,,1,1,Many had some wobbling/motion at begnning
2025-09-11 01-26-53,lstm,scooping_powder,2,1,,,1,1,Many had some wobbling/motion at begnning
2025-09-11 01-27-33,lstm,scooping_powder,3,0,1,,1,1,Many had some wobbling/motion at begnning
2025-09-11 01-28-57,lstm,scooping_powder,4,0,0,0,0,1,Many had some wobbling/motion at begnning
2025-09-11 01-30-58,lstm,scooping_powder,5,0,1,,1,1,Many had some wobbling/motion at begnning
2025-09-11 01-32-26,lstm,scooping_powder,6,0,0,0,0,1,Many had some wobbling/motion at begnning
2025-09-11 01-34-37,lstm,scooping_powder,7,1,,,1,1,Many had some wobbling/motion at begnning
2025-09-11 01-35-16,lstm,scooping_powder,8,0,0,0,0,1,Many had some wobbling/motion at begnning
2025-09-11 01-37-33,lstm,scooping_powder,9,0,0,0,0,1,Many had some wobbling/motion at begnning
2025-09-11 01-39-54,lstm,scooping_powder,10,0,0,0,0,1,Many had some wobbling/motion at begnning
2025-09-11 01-42-30,lstm,scooping_powder,11,1,,,1,1,Many had some wobbling/motion at begnning
2025-09-11 01-43-11,lstm,scooping_powder,12,1,,,1,1,Many had some wobbling/motion at begnning
2025-09-11 01-43-51,lstm,scooping_powder,13,1,,,1,1,Many had some wobbling/motion at begnning
2025-09-11 01-44-31,lstm,scooping_powder,14,0,0,0,0,1,Many had some wobbling/motion at begnning
2025-09-11 01-49-51,lstm_stack,scooping_powder,0,1,,,1,1,
2025-09-11 01-50-30,lstm_stack,scooping_powder,1,0,0,0,0,1,
2025-09-11 01-53-03,lstm_stack,scooping_powder,2,0,0,1,1,1,
2025-09-11 01-55-46,lstm_stack,scooping_powder,3,1,,,1,1,
2025-09-11 01-56-27,lstm_stack,scooping_powder,4,0,0,0,0,1,
2025-09-11 01-59-17,lstm_stack,scooping_powder,5,1,,,1,1,
2025-09-11 01-59-56,lstm_stack,scooping_powder,6,0,0,0,0,1,
2025-09-11 02-02-55,lstm_stack,scooping_powder,7,0,0,0,0,1,
2025-09-11 02-05-13,lstm_stack,scooping_powder,8,1,,,1,1,
2025-09-11 02-05-53,lstm_stack,scooping_powder,9,0,0,0,0,1,Some wobbling
2025-09-11 02-08-13,lstm_stack,scooping_powder,10,0,0,0,0,1,
2025-09-11 02-10-46,lstm_stack,scooping_powder,11,1,,,1,1,
2025-09-11 02-11-25,lstm_stack,scooping_powder,12,1,,,1,1,
2025-09-11 02-12-05,lstm_stack,scooping_powder,13,0,1,,1,1,
2025-09-11 02-13-37,lstm_stack,scooping_powder,14,0,0,0,0,1,
2025-09-11 02-18-35,s5,scooping_powder,0,1,,,1,1,Some had a little wobbling/shaking
2025-09-11 02-19-20,s5,scooping_powder,1,0,0,0,0,1,Some had a little wobbling/shaking
2025-09-11 02-22-19,s5,scooping_powder,2,1,,,1,1,Some had a little wobbling/shaking
2025-09-11 02-22-59,s5,scooping_powder,3,0,0,0,0,1,Some had a little wobbling/shaking
2025-09-11 02-25-27,s5,scooping_powder,4,0,0,0,0,1,Some had a little wobbling/shaking
2025-09-11 02-27-37,s5,scooping_powder,5,1,,,1,1,Some had a little wobbling/shaking
2025-09-11 02-28-16,s5,scooping_powder,6,0,0,0,0,1,Some had a little wobbling/shaking
2025-09-11 02-31-26,s5,scooping_powder,7,0,0,0,0,1,Some had a little wobbling/shaking
2025-09-11 02-34-33,s5,scooping_powder,8,1,,,1,1,Some had a little wobbling/shaking
2025-09-11 02-35-12,s5,scooping_powder,9,0,0,0,0,1,Some had a little wobbling/shaking
2025-09-11 02-37-36,s5,scooping_powder,10,0,0,0,0,1,Some had a little wobbling/shaking
2025-09-11 02-40-03,s5,scooping_powder,11,0,0,0,0,1,Some had a little wobbling/shaking
2025-09-11 02-42-37,s5,scooping_powder,12,1,,,1,1,Some had a little wobbling/shaking
2025-09-11 02-43-17,s5,scooping_powder,13,1,,,1,1,Some had a little wobbling/shaking
2025-09-11 02-43-56,s5,scooping_powder,14,0,0,0,0,1,Some had a little wobbling/shaking
2025-09-11 02-49-28,transformer_attn,scooping_powder,0,0,0,0,0,1,
2025-09-11 02-51-49,transformer_attn,scooping_powder,1,0,0,0,0,1,
2025-09-11 02-53-58,transformer_attn,scooping_powder,2,1,,,1,1,
2025-09-11 02-54-38,transformer_attn,scooping_powder,3,0,0,0,0,1,
2025-09-11 02-57-22,transformer_attn,scooping_powder,4,0,0,0,0,1,
2025-09-11 02-59-35,transformer_attn,scooping_powder,5,0,0,0,0,1,
2025-09-11 03-01-50,transformer_attn,scooping_powder,6,0,0,0,0,1,
2025-09-11 03-04-10,transformer_attn,scooping_powder,7,0,0,0,0,1,
2025-09-11 03-06-33,transformer_attn,scooping_powder,8,1,,,1,1,
2025-09-11 03-07-12,transformer_attn,scooping_powder,9,0,0,0,0,1,
2025-09-11 03-09-20,transformer_attn,scooping_powder,10,1,,,1,1,
2025-09-11 03-10-01,transformer_attn,scooping_powder,11,1,,,1,1,
2025-09-11 03-10-40,transformer_attn,scooping_powder,12,1,,,1,1,
2025-09-11 03-11-19,transformer_attn,scooping_powder,13,1,,,1,1,
2025-09-11 03-11-58,transformer_attn,scooping_powder,14,0,0,0,0,1,
2025-09-11 03-16-25,transformer_ff,scooping_powder,0,1,,,1,1,
2025-09-11 03-17-04,transformer_ff,scooping_powder,1,0,0,0,0,1,
2025-09-11 03-19-28,transformer_ff,scooping_powder,2,1,,,1,1,
2025-09-11 03-20-08,transformer_ff,scooping_powder,3,0,0,1,1,1,
2025-09-11 03-22-37,transformer_ff,scooping_powder,4,0,0,0,0,1,
2025-09-11 03-24-38,transformer_ff,scooping_powder,5,0,0,0,0,1,
2025-09-11 03-26-47,transformer_ff,scooping_powder,6,0,0,0,0,1,
2025-09-11 03-28-59,transformer_ff,scooping_powder,7,0,0,0,0,1,
2025-09-11 03-31-14,transformer_ff,scooping_powder,8,0,0,0,0,1,
2025-09-11 03-33-14,transformer_ff,scooping_powder,9,0,0,0,0,1,
2025-09-11 03-35-18,transformer_ff,scooping_powder,10,1,,,1,1,
2025-09-11 03-35-58,transformer_ff,scooping_powder,11,0,0,0,0,1,
2025-09-11 03-38-04,transformer_ff,scooping_powder,12,1,,,1,1,
2025-09-11 03-38-43,transformer_ff,scooping_powder,13,0,0,0,0,1,
2025-09-11 03-41-53,transformer_ff,scooping_powder,14,0,0,0,0,1,
2025-09-11 03-46-25,human,stirring,4,0,0,0,0,1,
2025-09-11 03-49-28,human,stirring,5,0,0,0,0,1,
2025-09-11 03-51-35,human,stirring,6,0,0,0,0,1,
2025-09-11 03-54-37,human,stirring,7,0,0,0,0,1,
2025-09-11 03-56-28,human,stirring,8,0,0,0,0,1,
2025-09-11 03-58-22,human,stirring,9,0,0,0,0,1,
2025-09-11 04-00-00,human,stirring,10,0,0,0,0,1,
2025-09-11 04-02-09,human,stirring,11,0,0,0,0,1,
2025-09-11 04-05-05,human,stirring,12,1,,,1,1,
2025-09-11 04-05-44,human,stirring,13,1,,,1,1,
2025-09-11 04-06-23,human,stirring,14,1,,,1,1,
2025-09-11 04-09-01,human,stirring,15,1,,,1,1,
2025-09-11 04-09-41,diff_transformer_attn,stirring,0,0,1,,1,0,Shaky
2025-09-11 04-10-54,diff_transformer_attn,stirring,1,1,,,1,0,Shaky
2025-09-11 04-11-33,diff_transformer_attn,stirring,2,0,0,0,0,0,Shaky
2025-09-11 04-13-58,diff_transformer_attn,stirring,3,0,0,0,0,0,Shaky
2025-09-11 04-16-13,diff_transformer_attn,stirring,4,0,0,0,0,0,Shaky
2025-09-11 04-19-03,diff_transformer_attn,stirring,5,0,0,0,0,0,Shaky
2025-09-11 04-21-26,diff_transformer_attn,stirring,6,0,0,0,0,0,Shaky
2025-09-11 04-23-46,diff_transformer_attn,stirring,7,0,0,0,0,0,Shaky
2025-09-11 04-25-38,diff_transformer_attn,stirring,8,0,0,1,1,0,Shaky
2025-09-11 04-27-54,diff_transformer_attn,stirring,9,0,0,0,0,0,Shaky
2025-09-11 04-29-47,diff_transformer_attn,stirring,10,0,0,0,0,0,Shaky
2025-09-11 04-31-53,diff_transformer_attn,stirring,11,0,0,0,0,0,Shaky
2025-09-11 04-33-58,diff_transformer_attn,stirring,12,1,,,1,0,Shaky
2025-09-11 04-34-37,diff_transformer_attn,stirring,13,1,,,1,0,Shaky
2025-09-11 04-35-16,diff_transformer_attn,stirring,14,0,0,0,0,0,Shaky
2025-09-11 04-37-23,diff_transformer_attn,stirring,15,0,0,0,0,0,Shaky
2025-09-11 04-42-05,diff_transformer_ff,stirring,0,0,0,0,0,0,Shaky
2025-09-11 04-44-12,diff_transformer_ff,stirring,1,0,0,0,0,0,Shaky
2025-09-11 04-46-18,diff_transformer_ff,stirring,2,0,0,0,0,0,Shaky
2025-09-11 04-48-23,diff_transformer_ff,stirring,3,0,0,0,0,0,Shaky
2025-09-11 04-51-06,diff_transformer_ff,stirring,4,0,0,0,0,0,Shaky
2025-09-11 04-53-26,diff_transformer_ff,stirring,5,0,0,0,0,0,Shaky
2025-09-11 04-55-40,diff_transformer_ff,stirring,6,0,0,0,0,0,Shaky
2025-09-11 04-58-03,diff_transformer_ff,stirring,7,0,0,0,0,0,Shaky
2025-09-11 04-59-56,diff_transformer_ff,stirring,8,0,0,0,0,0,Shaky
2025-09-11 05-01-55,diff_transformer_ff,stirring,9,0,0,0,0,0,Shaky
2025-09-11 05-03-56,diff_transformer_ff,stirring,10,0,0,0,0,0,Shaky
2025-09-11 05-06-04,diff_transformer_ff,stirring,11,0,0,0,0,0,Shaky
2025-09-11 05-08-58,diff_transformer_ff,stirring,12,0,0,0,0,0,Shaky
2025-09-11 05-11-06,diff_transformer_ff,stirring,13,0,0,0,0,0,Shaky
2025-09-11 05-13-15,diff_transformer_ff,stirring,14,0,0,0,0,0,Shaky
2025-09-11 05-15-06,diff_transformer_ff,stirring,15,0,0,0,0,0,Shaky
2025-09-11 05-18-59,gru,stirring,0,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-21-07,gru,stirring,1,1,,,1,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-21-46,gru,stirring,2,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-24-08,gru,stirring,3,0,1,,1,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-25-31,gru,stirring,4,1,,,1,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-26-10,gru,stirring,5,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-28-22,gru,stirring,6,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-30-26,gru,stirring,7,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-32-18,gru,stirring,8,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-34-15,gru,stirring,9,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-36-16,gru,stirring,10,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-39-24,gru,stirring,11,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-42-18,gru,stirring,12,1,,,1,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-42-58,gru,stirring,13,0,0,1,1,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-45-11,gru,stirring,14,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-47-37,gru,stirring,15,0,0,0,0,1,"Placement seems reasonable, but no stirring motion"
2025-09-11 05-51-25,gru_stack,stirring,0,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 05-52-04,gru_stack,stirring,1,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 05-52-43,gru_stack,stirring,2,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 05-55-53,gru_stack,stirring,3,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 05-56-32,gru_stack,stirring,4,0,1,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 05-58-38,gru_stack,stirring,5,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-01-34,gru_stack,stirring,6,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-03-44,gru_stack,stirring,7,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-05-38,gru_stack,stirring,8,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-07-32,gru_stack,stirring,9,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-10-37,gru_stack,stirring,10,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-12-47,gru_stack,stirring,11,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-13-27,gru_stack,stirring,12,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-14-07,gru_stack,stirring,13,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-14-47,gru_stack,stirring,14,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-15-27,gru_stack,stirring,15,0,0,1,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-18-21,linoss_im,stirring,0,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-19-00,linoss_im,stirring,1,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-19-40,linoss_im,stirring,2,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-22-12,linoss_im,stirring,3,1,,,1,1,Some stirring motion
2025-09-11 06-22-51,linoss_im,stirring,4,1,,,1,1,Better stirring motion
2025-09-11 06-23-31,linoss_im,stirring,5,0,0,0,0,1,Some stirring motion
2025-09-11 06-25-38,linoss_im,stirring,6,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-27-44,linoss_im,stirring,7,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-29-34,linoss_im,stirring,8,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-31-28,linoss_im,stirring,9,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-33-24,linoss_im,stirring,10,0,0,0,0,1,Better stirring motion
2025-09-11 06-35-33,linoss_im,stirring,11,0,0,0,0,1,Better stirring motion
2025-09-11 06-37-39,linoss_im,stirring,12,1,,,1,1,Some stirring motion
2025-09-11 06-38-18,linoss_im,stirring,13,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-40-38,linoss_im,stirring,14,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-41-18,linoss_im,stirring,15,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 06-45-06,linoss_imex,stirring,0,1,,,1,1,"Good stirring motion, and some slight tap on pitcher"
2025-09-11 06-45-46,linoss_imex,stirring,1,0,1,,1,1,Some stirring motion
2025-09-11 06-47-02,linoss_imex,stirring,2,0,0,0,0,1,Some stirring movement
2025-09-11 06-49-14,linoss_imex,stirring,3,1,,,1,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 06-49-54,linoss_imex,stirring,4,0,0,0,0,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 06-52-59,linoss_imex,stirring,5,0,0,0,0,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 06-55-09,linoss_imex,stirring,6,0,0,0,0,1,Some stirring movement
2025-09-11 06-57-14,linoss_imex,stirring,7,0,0,0,0,1,Good stirring motion
2025-09-11 06-59-05,linoss_imex,stirring,8,0,0,0,0,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 07-01-47,linoss_imex,stirring,9,0,0,0,0,1,"Some stirring movement, and some tap on pitcher"
2025-09-11 07-03-38,linoss_imex,stirring,10,0,0,0,0,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 07-05-46,linoss_imex,stirring,11,0,0,0,0,1,Good stirring motion
2025-09-11 07-07-52,linoss_imex,stirring,12,1,,,1,1,"Some stirring movement, and some tap on pitcher"
2025-09-11 07-08-31,linoss_imex,stirring,13,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-09-10,linoss_imex,stirring,14,0,1,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-10-33,linoss_imex,stirring,15,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-14-19,lru,stirring,0,1,,,1,1,Good stirring motion
2025-09-11 07-14-59,lru,stirring,1,1,,,1,1,Some stirring motion
2025-09-11 07-15-38,lru,stirring,2,0,0,0,0,1,Some stirring motion
2025-09-11 07-17-56,lru,stirring,3,1,,,1,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 07-18-36,lru,stirring,4,1,,,1,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 07-19-16,lru,stirring,5,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-22-11,lru,stirring,6,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-24-10,lru,stirring,7,0,0,0,0,1,Good stirring motion
2025-09-11 07-26-50,lru,stirring,8,1,,,1,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 07-27-29,lru,stirring,9,0,0,0,0,1,"Some stirring movement, and some tap on pitcher"
2025-09-11 07-29-21,lru,stirring,10,0,0,0,0,1,Good stirring motion
2025-09-11 07-31-28,lru,stirring,11,1,,,1,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 07-32-07,lru,stirring,12,1,,,1,1,Good stirring motion
2025-09-11 07-32-47,lru,stirring,13,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-35-09,lru,stirring,14,1,,,1,1,Some stirring motion
2025-09-11 07-36-28,lru,stirring,15,0,0,1,1,1,Some stirring motion
2025-09-11 07-38-43,lstm,stirring,0,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-39-22,lstm,stirring,1,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-40-02,lstm,stirring,2,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-42-55,lstm,stirring,3,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-45-58,lstm,stirring,4,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-46-37,lstm,stirring,5,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-48-45,lstm,stirring,6,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-51-14,lstm,stirring,7,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-53-11,lstm,stirring,8,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-55-21,lstm,stirring,9,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-57-13,lstm,stirring,10,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 07-59-19,lstm,stirring,11,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-01-26,lstm,stirring,12,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-02-06,lstm,stirring,13,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-02-47,lstm,stirring,14,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-03-27,lstm,stirring,15,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-07-30,lstm_stack,stirring,0,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-08-09,lstm_stack,stirring,1,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-08-49,lstm_stack,stirring,2,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-11-08,lstm_stack,stirring,3,0,1,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-12-31,lstm_stack,stirring,4,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-13-10,lstm_stack,stirring,5,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-15-15,lstm_stack,stirring,6,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-17-36,lstm_stack,stirring,7,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-19-28,lstm_stack,stirring,8,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-21-23,lstm_stack,stirring,9,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-23-12,lstm_stack,stirring,10,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-25-18,lstm_stack,stirring,11,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-27-18,lstm_stack,stirring,12,0,1,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-28-41,lstm_stack,stirring,13,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-30-55,lstm_stack,stirring,14,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-31-39,lstm_stack,stirring,15,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-35-27,s5,stirring,0,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-36-08,s5,stirring,1,0,0,1,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-38-18,s5,stirring,2,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-40-43,s5,stirring,3,1,,,1,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 08-41-22,s5,stirring,4,1,,,1,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 08-42-03,s5,stirring,5,0,0,0,0,1,Some stirring motion
2025-09-11 08-44-06,s5,stirring,6,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-46-13,s5,stirring,7,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-48-04,s5,stirring,8,0,0,0,0,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-49-56,s5,stirring,9,0,0,0,0,1,Some stirring motion
2025-09-11 08-51-49,s5,stirring,10,0,0,0,0,1,Some stirring motion
2025-09-11 08-53-56,s5,stirring,11,0,0,0,0,1,"Good stirring motion, and some tap on pitcher"
2025-09-11 08-56-05,s5,stirring,12,1,,,1,1,Some stirring motion
2025-09-11 08-56-45,s5,stirring,13,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-57-24,s5,stirring,14,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-58-04,s5,stirring,15,1,,,1,1,"Placement seems reasonable, but little to no stirring motion"
2025-09-11 08-59-24,transformer_attn,stirring,0,1,,,1,1,"Flap stirring motion, distinct taps on pitcher"
2025-09-11 09-00-03,transformer_attn,stirring,1,1,,,1,1,"Good stirring motion but outside, distinct taps on pitcher"
2025-09-11 09-00-43,transformer_attn,stirring,2,0,0,0,0,1,"Good stirring motion but outside, distinct taps on pitcher"
2025-09-11 09-03-05,transformer_attn,stirring,3,1,,,1,1,"Good stirring motion but outside, distinct taps on pitcher"
2025-09-11 09-03-44,transformer_attn,stirring,4,0,1,,1,1,"Good stirring motion, distinct taps on pitcher"
2025-09-11 09-05-07,transformer_attn,stirring,5,0,0,0,0,1,"Some stirring motion, distinct taps on pitcher"
2025-09-11 09-07-15,transformer_attn,stirring,6,0,0,0,0,1,"Little stirring motion, distinct taps on pitcher"
2025-09-11 09-09-26,transformer_attn,stirring,7,0,0,0,0,1,"Good stirring motion, distinct taps on pitcher"
